Type (分類),V1 (原形),繁體中文意思,V1 例句,V2 (過去式),V2 例句,V3 (過去分詞),V3 例句
ABB (過去式與過去分詞相同),stand,站立,Please stand still for the photo.,stood,We stood waiting for the bus.,stood,The statue has stood here for centuries.
ABB (過去式與過去分詞相同),understand,了解,I don't understand the instructions.,understood,She understood the complexity of the issue.,understood,The message was perfectly understood.
ABB (過去式與過去分詞相同),spell,拼寫,Can you spell your name for me?,spelt,He spelt the difficult word correctly.,spelt,The word has been spelt wrong.
ABB (過去式與過去分詞相同),learn,學習,We learn something new every day.,learnt,I learnt to play the piano last year.,learnt,She has learnt a lot from her travels.
ABB (過去式與過去分詞相同),find,找到,Did you find your lost keys?,found,I found an old map in the attic.,found,The treasure was found buried deep.
ABB (過去式與過去分詞相同),mean,意指,What does this word mean?,meant,He didn't mean to offend you.,meant,The gesture was meant as a kindness.
ABB (過去式與過去分詞相同),bend,彎曲,Don't bend the iron rod.,bent,She bent down to tie her shoe.,bent,The wire has been slightly bent.
ABB (過去式與過去分詞相同),burn,燃燒,Do not burn yourself on the stove.,burnt,The toast was accidentally burnt.,burnt,The evidence was burnt to ashes.
ABB (過去式與過去分詞相同),burn,燃燒,Do not burn yourself on the stove.,burned,The letter burned quickly in the fire.,burned,The forest was burned in the blaze.
ABB (過去式與過去分詞相同),dream,做夢,I often dream about flying.,dreamt,She dreamt of her childhood home.,dreamt,I have dreamt the same dream twice.
ABB (過去式與過去分詞相同),dream,做夢,I often dream about flying.,dreamed,He dreamed about a white Christmas.,dreamed,We have dreamed of this moment.
ABB (過去式與過去分詞相同),lay,放置；產卵,Please lay the baby in the crib.,laid,She laid the foundations of the company.,laid,The trap was laid last night.
ABB (過去式與過去分詞相同),light,點燃,Light the candle for dinner.,lit,He lit a match to see better.,lit,The room was lit by a single lamp.
ABB (過去式與過去分詞相同),light,照亮,Light the candle for dinner.,lighted,The lamplighter lighted the street lamps.,lighted,The path has been brightly lighted.
ABB (過去式與過去分詞相同),meet,會面,We always meet at the cafe.,met,I met him at a conference.,met,We have never met before.
ABB (過去式與過去分詞相同),slide,滑動,Be careful not to slide on the ice.,slid,The coin slid across the floor.,slid,The door has slid open.
ABB (過去式與過去分詞相同),weep,哭泣,It is natural to weep when sad.,wept,The child wept inconsolably.,wept,She has wept for days.
ABC (三態均不相同),begin,開始,Let the show begin!,began,The concert began at eight o'clock.,begun,The project has already begun.
ABC (三態均不相同),drink,喝,I like to drink cold water.,drank,We drank all the lemonade.,drunk,He has drunk too much coffee.
ABC (三態均不相同),ring,響鈴；打電話,The phone will ring at noon.,rang,The bell rang loudly at the end of class.,rung,The alarm has not rung yet.
ABC (三態均不相同),sing,唱歌,Can you sing a lullaby?,sang,She sang beautifully at the wedding.,sung,This song has been sung by many artists.
ABC (三態均不相同),sink,下沉,The boat may sink in the storm.,sank,The ship sank quickly after the collision.,sunk,The anchor has sunk to the seabed.
ABC (三態均不相同),swim,游泳,I like to swim in the ocean.,swam,We swam across the river yesterday.,swum,She has swum competitively.
ABC (三態均不相同),bear,承擔；生育,I cannot bear this heat any longer.,bore,She bore the pain without complaining.,born,The child was born in winter.
ABC (三態均不相同),tear,撕裂,Don't tear the delicate fabric.,tore,He accidentally tore the page.,torn,The flag was torn by the strong wind.
ABC (三態均不相同),wear,穿戴,What should I wear tonight?,wore,He wore a new suit to the interview.,worn,This coat is old and badly worn.
ABC (三態均不相同),swear,發誓；咒罵,I promise to swear an oath.,swore,He swore to tell the truth.,sworn,The witness is under sworn testimony.
ABC (三態均不相同),blow,吹,The wind will blow hard tonight.,blew,A gust of wind blew the hat off.,blown,The leaves have been blown away.
ABC (三態均不相同),draw,畫；拉,Can you draw a perfect circle?,drew,She drew a picture of a cat.,drawn,The curtain has been drawn closed.
ABC (三態均不相同),fly,飛,Birds fly south for the winter.,flew,The plane flew over the mountains.,flown,He has flown around the world.
ABC (三態均不相同),grow,生長；種植,Children grow very fast.,grew,The tree grew tall and strong.,grown,The seeds have grown into saplings.
ABC (三態均不相同),know,知道,I know the answer to this riddle.,knew,She knew all the details of the plan.,known,This fact is widely known.
ABC (三態均不相同),throw,丟；扔,Please throw the ball to me.,threw,He threw the trash into the bin.,thrown,The spear was thrown far.
ABC (三態均不相同),withdraw,撤回；取出,I need to withdraw cash from the ATM.,withdrew,He withdrew his support for the project.,withdrawn,The troops have been withdrawn from the area.
ABC (三態均不相同),break,打破,Be careful not to break the glass.,broke,He broke his leg playing football.,broken,The vase is completely broken.
ABC (三態均不相同),choose,選擇,Which color will you choose?,chose,They chose the blue one.,chosen,The winner has been chosen.
ABC (三態均不相同),eat,吃,We eat dinner at seven.,ate,I ate a big sandwich for lunch.,eaten,Have you eaten all your vegetables?
ABC (三態均不相同),fall,跌落,The leaves fall in autumn.,fell,She fell off her bike.,fallen,The temperature has fallen rapidly.
ABC (三態均不相同),forget,忘記,I sometimes forget people's names.,forgot,I forgot my keys at home.,forgotten,The event has been completely forgotten.
ABC (三態均不相同),give,給予,Please give me a chance.,gave,He gave her a bouquet of roses.,given,The award was given to the best student.
ABC (三態均不相同),rise,上升,The sun rise in the east.,rose,Smoke rose from the chimney.,risen,The sea level has risen.
ABC (三態均不相同),see,看見,Can you see the stars tonight?,saw,I saw a shooting star last night.,seen,I have never seen a whale before.
ABC (三態均不相同),shake,搖動,Shake the bottle well before use.,shook,The earthquake shook the whole building.,shaken,The foundations have been shaken.
ABC (三態均不相同),speak,說話,"Can you speak louder, please?",spoke,She spoke to the manager about the issue.,spoken,He has spoken on this topic before.
ABC (三態均不相同),steal,偷竊,Thieves often steal at night.,stole,Someone stole her bicycle.,stole,The jewels were stolen from the museum.
ABC (三態均不相同),bite,咬,"Be careful, the dog might bite.",bit,The snake bit the hiker's ankle.,bitten,I was bitten by mosquitoes.
ABC (三態均不相同),drive,駕駛,I drive to work every day.,drove,He drove for six hours without stopping.,driven,We have driven this route many times.
ABC (三態均不相同),hide,躲藏,I will hide the presents in the closet.,hid,They hid behind the curtain.,hidden,The money was hidden in a vault.
ABC (三態均不相同),ride,騎乘,Let's ride our bikes to the park.,rode,I rode a horse on my vacation.,ridden,She has ridden that roller coaster before.
ABC (三態均不相同),take,拿；帶,Please take a seat.,took,He took the first bus this morning.,taken,The photograph was taken professionally.
ABC (三態均不相同),wake,醒來,I wake up early on weekdays.,woke,I woke up to the sound of thunder.,woken,I have been woken by the noise.
ABC (三態均不相同),write,寫,Please write a short essay.,wrote,She wrote a letter to her grandmother.,written,The book was written ten years ago.
ABC (三態均不相同),awake,喚醒；醒來,I often awake before dawn.,awoke,I awoke with a splitting headache.,awoken,The whole neighborhood was awoken by the sirens.
ABC (三態均不相同),freeze,結冰；冷凍,The water will freeze overnight.,froze,The lake froze solid in the winter.,frozen,The pipes have frozen due to the cold.
ABC (三態均不相同),be(am/is),是；存在,I am ready; He is happy.,was,I was late; She was sick.,been,He has been here all day.
ABC (三態均不相同),be (are),是；存在,They are friendly; We are tired.,were,We were at the cinema; They were busy.,been,They have been working hard.
ABC (三態均不相同),sew,縫紉,She can sew her own dresses.,sewed,My mother sewed a button back on my shirt.,sewn,The hem has been neatly sewn.
ABC (三態均不相同),do,做,What do you do for a living?,did,I did my homework last night.,done,The work is completely done.
ABC (三態均不相同),go,去,I need to go to the market.,went,We went on a holiday last summer.,gone,He has gone home already.
ABC (三態均不相同),show,展示,I will show you my new car.,showed,She showed us her vacation photos.,shown,The movie was shown at the festival.
ABC (三態均不相同),lie,躺,I like to lie on the beach.,lay,He lay down for a nap.,lain,The documents have lain on the desk for days.




